# First Quater
101	0	1	0	0
102	0	3	0	0
103	1	2	0	0
104	1	3	0	0
105	2	3	0	0
106	2	4	0	0
107	3	4	0	0
108	3	5	0	0
109	3	7	0	0
110	4	7	0	0
111	4	5	0	0
112	5	6	0	0
113	5	7	0	0
114	5	8	0	0
115	6	7	0	0
116	6	8	0	0
117	7	8	0	0
118	7	9	0	0
119	8	9	0	0
# Second Quater
201	10	11	0	0
202	10	13	0	0
203	11	12	0	0
204	11	13	0	0
205	12	13	0	0
206	12	14	0	0
207	13	14	0	0
208	13	15	0	0
209	13	17	0	0
210	14	17	0	0
211	14	15	0	0
212	15	16	0	0
213	15	17	0	0
214	15	18	0	0
215	16	17	0	0
216	16	18	0	0
217	17	18	0	0
218	17	19	0	0
219	18	19	0	0
# Third Quater
301	20	21	0	0
302	20	23	0	0
303	21	22	0	0
304	21	23	0	0
305	22	23	0	0
306	22	24	0	0
307	23	24	0	0
308	23	25	0	0
309	23	27	0	0
310	24	27	0	0
311	24	25	0	0
312	25	26	0	0
313	25	27	0	0
314	25	28	0	0
315	26	27	0	0
316	26	28	0	0
317	27	28	0	0
318	27	29	0	0
319	28	29	0	0
# Fourth Quater
401	30	31	0	0
402	30	33	0	0
203	31	32	0	0
404	31	33	0	0
405	32	33	0	0
406	32	34	0	0
407	33	34	0	0
408	33	35	0	0
409	33	37	0	0
410	34	37	0	0
411	34	35	0	0
412	35	36	0	0
413	35	37	0	0
414	35	38	0	0
415	36	37	0	0
416	36	38	0	0
417	37	38	0	0
418	37	39	0	0
419	38	39	0	0
#Connections
# First + Second
120	9	19 	0 	0
121	9	18 	0 	0
122	9	16 	0 	0
123	8	19 	0 	0
124	8	18 	0 	0
125	8	16 	0 	0
126	6	19 	0 	0
127	6	18 	0 	0
128	6	16 	0 	0
# Third + Fourth
340	29	39 	0 	0
341	29	38 	0 	0
342	29	36 	0 	0
343	28	39 	0 	0
344	28	38 	0 	0
345	28	36 	0 	0
346	26	39 	0 	0
347	26	38 	0 	0
348	26	36 	0 	0
# First + Third
130 	1 	21 	0 	0
131 	2 	22 	0 	0
132 	3 	23 	0 	0
133 	4 	24 	0 	0
134 	5 	25 	0 	0
135 	6 	26 	0 	0
136 	7 	27 	0 	0
137 	8 	28 	0 	0
138 	9	29 	0 	0
# Second + Fourth
240 	11 	31 	0 	0
241 	12 	32 	0 	0
242 	13 	33 	0 	0
243 	14 	34 	0 	0
244 	15 	35 	0 	0
245 	16 	36 	0 	0
246 	17 	37 	0 	0
247 	18 	38 	0 	0
248 	19	39 	0 	0
